Hogar,ID Individuo,Núcleo,PaísOrigen,TieneDNI,EdadMeses,Sexo,RelconJefeFlia,Educacion,EstuActual,Trabaja,NoTrabBusca,SiTrabHaceCuanto,SiTrabFormal,Ocupacion,ProbSalud,DiscaCroni,Embarazo,RecibePlanSocial,TipoPlanSocial1,TipoPlanSocial2,IngTrab,IngPlan,EdadHijoMenorMess,CantTotalDePers,CantTotalDeMuj,CantPersSinProbSal,CantTotalHijos,CantTotalHijMen18,CantJefHog,CantPersTrab,CantPersTrabForm,CantEmb,CantEnfCron,CantPersEdadTrab2560,Barrio,Zona,Sede,TiempoViveBarrio,TiempoViveCasa,DimCasa,AmbCasa,CantCamas,CantPersCasa,EstPropCasa,Inunda,Viento,Humeda,Inestable,OtraSit,PoseeTerrenoAdec,UsoVDE,MatTecho,MatParedes,TipoPiso,EstadoTecho,EstadoPared,EstadoPiso,EstPropTerreno,UbicTerreno,SitDomTerreno,HundimientoTerreno,PozoNegroTerreno,NoEspacioTerreno,CañosEscPisoTerreno,InundacionesTerreno,MatConst,TieneTerrenoVDE,Campo39,AccesoAgua,Baño,ConexionLuz,ConexionAgua,ElimSanitaria,ComoCocina,Prioridad,
101,10001,1,Argentina,Si,305,Femenino,Jefe de Hogar,02 - Jardin,No,No,No,,,Ama de Casa,Ninguno,No,No,Si,AUH,Ninguno,0,433,1,5,3,4,4,4,1,,,,1,1,"Manantial, Moreno",Moreno,01 - Buenos Aires,3,2,35,3,7,12,01 - Propia,Si,Si,Si,Si,No,,,01 - Chapa,07 - Madera,04 - Tierra / Alfombra sobre tierra,03 - Irrecuperable,03 - Irrecuperable,03 - Irrecuperable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,Si,No,No,No,No,Si,03 - Vivienda única,05 - Le pide a un vecino,"02 - Si, dentro de la casa","04 - Si, irregular (""colgado"")",05 - Pozo / Aljibe,03 - Pozo negro,03 - Garrafa,04 - Alta,
1011,101001,1,Argentina,Si,357,Femenino,Jefe de Hogar,05 - Primaria Completa,No,No,No,,,Ama de Casa,Ninguno,No,No,Si,AUH,Ninguno,700,1800,21,6,4,5,4,4,1,1,,,,1,"La Tosquera, Corrientes",Corrientes,03 - Corrientes,8,8,20,2,2,6,01 - Propia,Si,Si,Si,Si,No,Si,02 - Dormitorio Adicional,06 - Teja o Losa,07 - Madera,04 - Tierra / Alfombra sobre tierra,02 - Reparable,03 - Irrecuperable,02 - Reparable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,Si,No,Si,02 - Dormitorio adicional,04 - Fuera de la casa pero dentro del terreno,01 - No tiene,"04 - Si, irregular (""colgado"")","01 - Agua corriente irregular (""enganchados"")",03 - Pozo negro,01 - Brasera a leña,04 - Alta,
10141,1014001,1,Argentina,,247,Femenino,Jefe de Hogar,07 - Secundaria Incompleta,No,Si,,1,No,Vendedor,Ninguno,No,No,Si,Ninguno,Ninguno,3419,0,17,5,2,3,2,2,2,2,,,,0,"San Mariano, La Matanza",La Matanza,01 - Buenos Aires,22,,35,2,3,5,01 - Propia,No,Si,Si,No,No,,,05 - Madera,07 - Madera,04 - Tierra / Alfombra sobre tierra,02 - Reparable,02 - Reparable,02 - Reparable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,No,No,Si,02 - Dormitorio adicional,05 - Le pide a un vecino,"02 - Si, dentro de la casa","04 - Si, irregular (""colgado"")",05 - Pozo / Aljibe,03 - Pozo negro,03 - Garrafa,03 - Media-Alta,
10201,1020001,1,Argentina,Si,310,Femenino,Jefe de Hogar,07 - Secundaria Incompleta,No,No,No,,,Ama de Casa,Ninguno,No,No,Si,AUH,Ninguno,0,1080,2,6,3,4,5,5,1,,,,,1,"Haras del Trujui, Moreno",Moreno,01 - Buenos Aires,2,0,15,1,5,8,01 - Propia,No,Si,Si,Si,No,,,05 - Madera,07 - Madera,01 - Cemento,02 - Reparable,02 - Reparable,02 - Reparable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,No,No,Si,03 - Vivienda única,05 - Le pide a un vecino,"03 - Si, fuera de la casa","04 - Si, irregular (""colgado"")",06 -Otro,03 - Pozo negro,03 - Garrafa,04 - Alta,
10211,1021001,1,Argentina,Si,266,Femenino,Jefe de Hogar,07 - Secundaria Incompleta,No,No,No,,,No Trabaja,Ninguno,No,No,Si,AUH,Ninguno,2000,540,20,5,2,4,3,3,2,1,,,1,0,"Manantiales, Posadas",Posadas,05 - Misiones,8,,16,1,3,5,01 - Propia,Si,Si,Si,Si,No,Si,02 - Dormitorio Adicional,04 - Lona / Cartón / Adobe,07 - Madera,01 - Cemento,03 - Irrecuperable,02 - Reparable,02 - Reparable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,Si,No,Si,02 - Dormitorio adicional,05 - Le pide a un vecino,01 - No tiene,"02 - Si, con medidor comunitario","01 - Agua corriente irregular (""enganchados"")",01 - No tiene,03 - Garrafa,04 - Alta,
10221,1022001,1,Argentina,Si,304,Femenino,Jefe de Hogar,07 - Secundaria Incompleta,No,No,No,,,Ama de Casa,Ninguno,No,No,Si,AUH,Ninguno,600,920,11,6,2,6,4,4,1,1,,,,2,"Los Cedros, Moreno",Moreno,01 - Buenos Aires,3,3,12,2,4,6,03 - Prestada,Si,Si,No,Si,No,,,01 - Chapa,07 - Madera,01 - Cemento,03 - Irrecuperable,03 - Irrecuperable,02 - Reparable,03 - Prestado,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,Si,No,Si,Si,No,Si,04 - Otro,04 - Fuera de la casa pero dentro del terreno,"02 - Si, dentro de la casa","04 - Si, irregular (""colgado"")",06 -Otro,03 - Pozo negro,03 - Garrafa,03 - Media-Alta,
10241,1024001,1,Argentina,Si,458,Femenino,Jefe de Hogar,05 - Primaria Completa,No,No,No,,,Ama de Casa,Ninguno,No,No,Si,AUH,Ninguno,1200,1800,10,8,4,7,6,6,2,1,,,,2,"Haras del Trujui, Moreno",Moreno,01 - Buenos Aires,3,2,20,1,6,8,01 - Propia,No,Si,No,Si,No,,,05 - Madera,07 - Madera,01 - Cemento,03 - Irrecuperable,03 - Irrecuperable,02 - Reparable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),Si,No,No,Si,No,Si,Si,02 - Dormitorio adicional,04 - Fuera de la casa pero dentro del terreno,"03 - Si, fuera de la casa","04 - Si, irregular (""colgado"")",05 - Pozo / Aljibe,03 - Pozo negro,03 - Garrafa,04 - Alta,
10251,1025002,1,Argentina,Si,290,Femenino,Jefe de Hogar,05 - Primaria Completa,No,No,,,,Ama de Casa,Ninguno,No,No,Si,Ninguno,Ninguno,960,0,15,7,3,6,5,5,2,1,,,1,0,"Los Lapachitos, Posadas",Posadas,05 - Misiones,4,4,36,3,5,7,01 - Propia,Si,Si,No,No,No,Si,02 - Dormitorio Adicional,04 - Lona / Cartón / Adobe,07 - Madera,01 - Cemento,03 - Irrecuperable,03 - Irrecuperable,02 - Reparable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,Si,No,Si,02 - Dormitorio adicional,03 - Dentro de la casa,"02 - Si, dentro de la casa","04 - Si, irregular (""colgado"")","01 - Agua corriente irregular (""enganchados"")",03 - Pozo negro,03 - Garrafa,04 - Alta,
10271,1027001,1,Argentina,Si,359,Femenino,Jefe de Hogar,08 - Secundaria Completa,No,Si,,1,No,Acompañante de Niños/Ancianos/Enfermos,Ninguno,No,No,Si,AUH,Ninguno,7547,740,8,4,2,4,2,2,2,4,2,,,2,"Peruzotti, Pilar",Pilar,01 - Buenos Aires,3,3,,3,4,6,05 - Otra situacion,No,Si,Si,Si,No,,,01 - Chapa,07 - Madera,01 - Cemento,03 - Irrecuperable,02 - Reparable,03 - Irrecuperable,03 - Prestado,03 - En otro sector del mismo barrio,01 - Irregular (sin título de propiedad),No,No,No,No,No,No,Si,03 - Vivienda única,03 - Dentro de la casa,"02 - Si, dentro de la casa","04 - Si, irregular (""colgado"")","01 - Agua corriente irregular (""enganchados"")",03 - Pozo negro,04 - Gas natural,04 - Alta,
10281,1028001,1,Argentina,Si,441,Femenino,Jefe de Hogar,05 - Primaria Completa,No,No,No,,,No Trabaja,Ninguno,No,No,Si,AUH,Ninguno,1200,1200,63,8,6,6,7,6,1,1,,,,1,"Luchetti, Pilar",Pilar,01 - Buenos Aires,4,4,42,3,5,7,01 - Propia,No,Si,No,Si,No,,,01 - Chapa,07 - Madera,01 - Cemento,03 - Irrecuperable,03 - Irrecuperable,01 - Bueno,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,No,No,Si,02 - Dormitorio adicional,04 - Fuera de la casa pero dentro del terreno,"02 - Si, dentro de la casa","03 - Si, con medidor particular",05 - Pozo / Aljibe,03 - Pozo negro,03 - Garrafa,03 - Media-Alta,
